seller_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,business_type,first_contact_date,landing_page_id,origin,seller_acquisition_days,seller_days_withOlist,product_count,days_diff_estimated_delivered_avg,days_deliver_avg,hours_approve_avg,shipping_days_avg,review_score_avg,freight_value_avg,product_nunique,customer_nunique,order_nunique,total_sold,order_purchase_timestamp_mostrecent,order_delivered_customer_date_mostrecent,order_item_id_mostrecent,order_purchase_timestamp_first,order_delivered_customer_date_first,days_to_first_sale,won_month,contact_month
2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,2018-02-26,pet,online_medium,cat,reseller,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search,5,183,3,15.666666666666666,3.6666666666666665,4.875277777777778,2.6666666666666665,3.6666666666666665,24.05666666666667,3,3,3,858.0,2018-07-23,2018-07-27,1.0,2018-06-20,2018-06-25,114.0,2,2
bbb7d7893a450660432ea6652310ebb7,09285259593c61296eef10c734121d5b,d3d1e91a157ea7f90548eef82f1955e3,2018-05-08,car_accessories,industry,eagle,reseller,2018-04-04,2f08471dfb83baef522f952438a36f6e,referral,34,112,0,,,,,,0.0,0,0,0,0.0,,,0.0,,,,5,4
612170e34b97004b3ba37eae81836b4c,b90f87164b5f8c2cfa5c8572834dbe3f,6565aa9ce3178a5caf6171827af3a9ba,2018-06-05,home_appliances,online_big,cat,reseller,2018-04-03,1ceb590cd1e00c7ee95220971f82693d,organic_search,63,84,110,17.40909090909091,10.49090909090909,7.873570707070708,5.909090909090909,4.427272727272728,20.973272727272725,48,107,107,23065.020000000015,2018-08-22,2018-08-28,3.0,2018-06-11,2018-06-19,5.0,6,4
21e1781e36faf92725dde4730a88ca0f,56bf83c4bb35763a51c2baab501b4c67,d3d1e91a157ea7f90548eef82f1955e3,2018-01-17,food_drink,online_small,missing,reseller,2018-01-14,22c29808c4f815213303f8933030604c,paid_search,3,224,0,,,,,,0.0,0,0,0,0.0,,,0.0,,,,1,1
ed8cb7b190ceb6067227478e48cf8dde,4b339f9567d060bcea4f5136b9f5949e,d3d1e91a157ea7f90548eef82f1955e3,2018-07-03,home_appliances,industry,wolf,manufacturer,2017-10-09,a0fbc0263cb98bdb0d72b9f9f283a172,unknown,267,56,17,8.823529411764707,6.882352941176471,22.212336601307186,4.705882352941177,3.176470588235294,14.277058823529414,10,15,15,573.5,2018-08-27,2018-08-30,2.0,2018-07-19,2018-07-25,15.0,7,10
1c742ac33582852aaf3bcfbf5893abcf,fdb16d3cbbeb5798f2f66c4096be026d,495d4e95a8cf8bbf8b432b612a2aa328,2018-02-07,health_beauty,online_medium,missing,manufacturer,2018-02-06,40dec9f3d5259a3d2dbcdab2114fae47,organic_search,1,202,1,19.0,6.0,10.203888888888889,2.0,5.0,15.79,1,1,1,97.9,2018-06-22,2018-06-28,1.0,2018-06-22,2018-06-28,134.0,2,2
92d7568ad0c5c76fd7d341b2d46f24d6,4b339f9567d060bcea4f5136b9f5949e,85fc447d336637ba1df43e793199fbc8,2018-04-16,computers,online_medium,wolf,reseller,2018-02-20,e492ee5eaf1697716985cc6f33f9cd9b,direct_traffic,55,134,0,,,,,,0.0,0,0,0,0.0,,,0.0,,,,4,2
44ed138eca6214d572ce1d813fb0049b,34d40cdaf94010a1d05b0d6212f9e909,4ef15afb4b2723d8f3d81e51ec7afefe,2018-04-17,health_beauty,offline,cat,manufacturer,2018-04-13,b76ef37428e6799c421989521c0e5077,unknown,4,133,3,6.333333333333333,8.0,0.37481481481481477,4.666666666666667,4.666666666666667,18.669999999999998,2,2,2,129.79,2018-08-21,2018-08-29,2.0,2018-08-08,2018-08-16,112.0,4,4
0b28859cd04d23edefee9c591fb03cd8,f42a2bd194f7802ab052a815c8de65b7,6565aa9ce3178a5caf6171827af3a9ba,2018-05-14,household_utilities,offline,eagle,reseller,2018-04-27,58326e62183c14b0c03085c33b9fdc44,social,17,106,0,,,,,,0.0,0,0,0,0.0,,,0.0,,,,5,4
87d73636a3acf123e842bb890a4db036,9d12ef1a7eca3ec58c545c678af7869c,9e4d1098a3b0f5da39b0bc48f9876645,2018-04-24,household_utilities,online_medium,eagle,manufacturer,2017-10-18,007f9098284a86ee80ddeb25d53e0af8,paid_search,188,127,1,2.0,13.0,11.873055555555556,11.0,5.0,43.71,1,1,1,269.9,2018-07-25,2018-08-07,1.0,2018-07-25,2018-08-07,92.0,4,10
